"","area","heat"
"651","010585844085","317.278206411609"
"653","010585844106","322.516361677532"
"654","010585844113","308.459390417092"
"655","010585844115","317.157495458285"
"656","010585844125","315.42704257184"
"658","010585844134","304.027365062866"
"659","010585844159","325.209965023268"
"660","010585844164","321.69733855038"
"661","010585844167","324.137818209061"
"662","010585847010","312.618323941841"
"663","010585847029","306.726959135701"
"664","010585847036","321.87057731662"
"665","010585847047","319.95722677979"
"667","010585847056","324.158113485337"
"668","010585847070","307.562791619147"
"669","010585847078","304.270982152022"
"671","010585847097","309.10184088472"
"672","010585847129","327.878339540224"
"673","010585847154","315.826145234937"
"675","010585853048","327.59208660127"
"676","010585853068","325.605833287241"
"677","010585853071","304.92079823397"
"679","010585853086","317.407150297558"
"680","010585853101","330.474683296476"
"681","010585853148","299.840723272177"
"682","010585853155","309.699743985052"
"683","010585853172","317.860765716364"
"684","010585859018","311.27962950192"
"685","010585859105","309.38124033779"
"686","010585859107","303.349734042671"
"687","010585859138","316.550375315969"
"688","010585859139","304.100176169409"
"689","010585859141","328.628122229875"
"690","010585864011","318.448958056258"
"691","010585864021","309.948000847466"
"692","010585864023","314.932380507312"
"693","010585864027","299.734048854707"
"694","010585864038","317.139344585749"
"695","010585864045","305.491633102952"
"696","010585864046","294.653917893548"
"697","010585864049","308.669596896252"
"698","010585864059","306.051308327382"
"699","010585864065","308.147052553873"
"700","010585864091","323.893846347246"
"701","010585864094","309.090826621809"
"702","010585864117","314.992779427786"
"704","010585864147","307.497014326022"
"705","010585864163","310.872892560685"
"706","010585864168","308.878457030187"
"707","010585888026","319.95574883069"
"708","010585888073","338.528196419271"
"709","010585888122","304.373605066792"
"710","010585888124","313.285650915629"
"711","010585888132","332.91216723938"
"712","010585888140","306.433991149808"
"713","010585888146","311.489261805347"
"715","010585889022","305.752194916655"
"716","010585889033","307.288601618833"
"717","010585889063","300.20056082059"
"718","010585889064","280.808577796347"
"719","010585889076","343.459517299659"
"721","010585889108","305.302263178481"
"722","010585889109","318.411438916893"
"724","010585889143","306.26341979961"
"726","010585889153","334.041434219297"
"727","010585889170","315.299607904936"
"728","010585890008","321.157421015462"
"729","010585890024","305.046411783311"
"730","010585890030","310.422898451986"
"731","010585890035","319.844814504016"
"732","010585890039","310.867837744943"
"733","010585890066","311.604779921402"
"734","010585890069","297.897372719325"
"735","010585890080","308.484850212899"
"736","010585890081","307.259224950597"
"737","010585890081","307.259224950597"
"738","010585890081","307.259224950597"
"739","010585890081","307.259224950597"
"740","010585890081","307.259224950597"
"741","010585890081","307.259224950597"
"742","010585890081","307.259224950597"
"743","010585890081","307.259224950597"
"744","010585890083","315.399263329383"
"747","010585890123","333.588413926011"
"748","010585890127","314.828624456242"
"749","010585890152","307.852179103521"
"750","010585890175","327.215050882367"
"751","010585893004","319.382824384726"
"752","010585893012","299.680133552854"
"753","010585893032","298.538742811319"
"754","010585893040","316.794030361725"
"755","010585893042","315.28445802351"
"756","010585893052","306.674444780022"
"757","010585893057","324.216564694891"
"758","010585893067","326.554447292113"
"759","010585893082","306.180899671854"
"760","010585893084","340.067663811668"
"761","010585893087","302.9224271332"
"762","010585893090","313.002024068398"
"763","010585893099","324.505752850294"
"764","010585893102","309.821356101281"
"765","010585893137","311.457895799452"
"766","010585893162","326.877657605148"
